,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
1812,2010,BMW,1 SERIES,78,74,73,75
1813,2010,BMW,3 SERIES,79,78,74,66
1814,2010,BMW,7 SERIES,85,81,76,65
1815,2010,BMW,X5,79,74,76,67
1816,2010,BMW,X5 M,79,74,76,67
1817,2010,BUICK,ENCLAVE,73,74,75,69
1818,2010,BUICK,LACROSSE,81,85,65,73
1819,2010,BUICK,LUCERNE,80,93,53,71
1820,2010,CADILLAC,CTS-V,83,87,68,68
1821,2010,CADILLAC,DTS,84,89,59,70
1822,2010,CADILLAC,ESCALADE ESV,72,59,73,93
1823,2010,CADILLAC,ESCALADE EXT,72,59,73,93
1824,2010,CADILLAC,SRX,73,73,63,71
1825,2010,CHEVROLET,CAMARO,85,89,78,76
1826,2010,CHEVROLET,COBALT,65,80,57,75
1827,2010,CHEVROLET,COLORADO REGULAR CAB,66,82,52,77
1828,2010,CHEVROLET,CORVETTE,89,84,76,83
1829,2010,CHEVROLET,EQUINOX,69,71,75,73
1830,2010,CHEVROLET,HHR,66,75,65,75
1831,2010,CHEVROLET,IMPALA,71,85,42,70
1832,2010,CHEVROLET,SUBURBAN,73,73,60,77
1833,2010,CHEVROLET,TRAVERSE,71,74,71,72
1834,2010,CHRYSLER,300,77,82,59,73
1835,2010,CHRYSLER,PT CRUISER,56,69,56,85
1836,2010,CHRYSLER,SEBRING,68,81,56,72
1837,2010,CHRYSLER,TOWN & COUNTRY,62,70,60,69
1838,2010,DODGE,AVENGER,61,72,55,70
1839,2010,DODGE,CHALLENGER,80,78,76,84
1840,2010,DODGE,CHARGER,67,66,57,75
1841,2010,DODGE,GRAND CARAVAN PASSENGER,56,66,54,69
1842,2010,DODGE,JOURNEY,48,48,59,67
1843,2010,DODGE,NITRO,64,68,65,87
1844,2010,FORD,EDGE,76,79,73,73
1845,2010,FORD,ESCAPE,67,72,70,73
1846,2010,FORD,EXPEDITION,69,64,66,76
1847,2010,FORD,EXPEDITION EL,69,64,66,76
1848,2010,FORD,EXPLORER,72,79,63,76
1849,2010,FORD,EXPLORER SPORT TRAC,72,79,63,76
1850,2010,FORD,F150 (HERITAGE) SUPER CAB,82,79,70,86
1851,2010,FORD,FLEX,70,62,80,73
1852,2010,FORD,FOCUS,70,84,65,68
1853,2010,FORD,FUSION,81,87,74,72
1854,2010,FORD,MUSTANG,83,87,76,74
1855,2010,FORD,RANGER REGULAR CAB,68,88,45,85
1856,2010,FORD,F250 CREW CAB,73,73,54,90
1857,2010,FORD,F350 SUPER CAB,73,73,54,90
1858,2010,FORD,TAURUS,85,84,78,69
1859,2010,GMC,ACADIA,74,78,71,71
1860,2010,GMC,CANYON CREW CAB,59,73,49,76
