,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
768,2017,MINI,Clubman,85,83,89,91
769,2017,Mitsubishi,Mirage,60,66,64,70
770,2017,Mitsubishi,Outlander,70,74,71,78
771,2017,Mitsubishi,Outlander Sport,69,75,73,78
772,2017,Nissan,Altima,80,84,79,80
773,2017,Nissan,Armada,80,80,77,75
774,2017,Nissan,FRONTIER CREW CAB,75,85,64,86
775,2017,Nissan,JUKE,71,77,76,77
776,2017,Nissan,LEAF,64,79,55,69
777,2017,Nissan,Maxima,84,85,88,73
778,2017,Nissan,Murano,79,79,84,73
779,2017,Nissan,Pathfinder,76,80,76,76
780,2017,Nissan,Rogue,80,83,85,79
781,2017,Nissan,Rogue Sport,80,83,85,79
782,2017,Nissan,Sentra,75,81,74,78
783,2017,Nissan,TITAN SINGLE CAB,79,71,81,87
784,2017,Nissan,TITAN XD SINGLE CAB,79,71,81,87
785,2017,Nissan,VERSA,69,77,72,75
786,2017,Porsche,911,91,89,79,76
787,2017,Porsche,Cayenne,91,84,84,75
788,2017,Porsche,Macan,93,88,94,71
789,2017,Subaru,BRZ,70,69,77,76
790,2017,Subaru,Crosstrek,74,78,81,77
791,2017,Subaru,Forester,74,76,76,81
792,2017,Subaru,Impreza,68,66,76,78
793,2017,Subaru,Legacy,78,79,79,79
794,2017,Subaru,Outback,80,81,82,78
795,2017,Subaru,WRX,73,67,87,77
796,2017,Toyota,86,70,71,73,77
797,2017,Toyota,4Runner,80,84,75,90
798,2017,Toyota,Avalon,81,89,64,80
799,2017,Toyota,Camry,82,90,75,83
800,2017,Toyota,Corolla,81,88,80,86
801,2017,Toyota,Highlander,81,86,78,82
802,2017,Toyota,Mirai,74,81,68,72
803,2017,Toyota,Prius,75,78,76,83
804,2017,Toyota,Prius Prime,75,78,76,83
805,2017,Toyota,Prius v,73,79,70,83
806,2017,Toyota,RAV4,77,84,73,87
807,2017,Toyota,RAV4 Hybrid,77,84,73,87
808,2017,Toyota,Sequoia,84,87,77,80
809,2017,Toyota,Sienna,74,76,70,82
810,2017,Toyota,TACOMA DOUBLE CAB,73,75,65,89
811,2017,Toyota,TACOMA REGULAR CAB,84,88,69,92
812,2017,Toyota,TUNDRA CREWMAX,84,88,69,92
813,2017,Toyota,Yaris,72,82,73,76
814,2017,Toyota,Yaris iA,72,82,73,76
815,2017,Volkswagen,Beetle,75,79,78,79
816,2017,Volkswagen,BEETLE,75,79,78,79
817,2017,Volkswagen,Golf,75,77,82,76
818,2017,Volkswagen,Golf Alltrack,75,77,82,76
819,2017,Volkswagen,Golf GTI,75,77,82,76
820,2017,Volkswagen,Golf R,75,77,82,76
821,2017,Volkswagen,Golf SportWagen,75,77,82,76
822,2017,Volkswagen,Jetta,78,83,83,77
823,2017,Volkswagen,Passat,78,82,80,75
824,2017,Volkswagen,Tiguan,76,81,85,77
825,2017,Volkswagen,Tiguan Limited,76,81,85,77
826,2017,Volkswagen,Touareg,80,76,81,75
827,2017,Volkswagen,e-Golf,75,77,82,76
830,2017,Volvo,S90,79,73,82,72
831,2017,Volvo,XC60,74,70,71,76
832,2017,Volvo,XC90,74,65,74,76
833,2016,Acura,ILX,76,78,67,75
834,2016,Acura,MDX,69,57,62,75
835,2016,Acura,RDX,80,81,66,73
836,2016,Acura,TLX,80,78,75,71
837,2016,Audi,A3,81,82,77,72
838,2016,Audi,A3 SPORTBACK E-TRON,81,82,77,72
839,2016,Audi,A4,84,85,78,71
840,2016,Audi,A5,84,89,71,71
841,2016,Audi,A6,85,82,83,69
842,2016,Audi,A7,87,86,81,70
843,2016,Audi,Q3,79,80,74,71
844,2016,Audi,Q5,80,78,74,71
845,2016,BMW,2 Series,84,83,81,87
846,2016,BMW,3 Series,82,82,79,69
847,2016,BMW,4 Series,84,83,82,73
